id,ac,hl,flight,date,EGT1,EGT2,N11,N12,N21,N22,FF1,FF2
19473,777,HL7766,L659,2023-06-30 12:17,411.5,423.4,85.5,86,85.9,86.1,7016,7177
19501,777,HL7766,L660,2023-07-01 3:40,407,419.6,82.4,82.9,86,86.1,7409,7621
19518,777,HL7766,L660,2023-07-01 4:16,406.2,417.8,82.4,82.9,86,86,7388,7562
19583,777,HL7766,L461,2023-07-02 10:33,392.5,403.7,83.4,83.9,84.9,85,6572,6753
19591,777,HL7766,L461,2023-07-02 11:52,381.8,393.4,82.1,82.6,84.3,84.5,6236,6397
19601,777,HL7766,L462,2023-07-02 17:20,410.7,420.4,78.9,79.5,85.5,85.5,7222,7457
19609,777,HL7766,L462,2023-07-02 17:23,408.8,418.6,78.7,79.3,85.4,85.4,7152,7390
19634,777,HL7766,L951,2023-07-03 5:54,427.9,441.6,85.5,86,87.2,87.3,8159,8364
19654,777,HL7766,L951,2023-07-03 13:32,397.5,409.8,83,83.6,85.2,85.4,6390,6569
19667,777,HL7766,L952,2023-07-03 19:15,435.3,445.4,86.4,86.9,86.9,87,7602,7768
19687,777,HL7766,L952,2023-07-03 20:30,417.4,430.5,84.9,85.5,86.4,86.5,7096,7290
19718,777,HL7766,L659,2023-07-04 12:43,427,436.6,86.2,86.7,86.7,86.7,7232,7377
19727,777,HL7766,L659,2023-07-04 13:25,410.4,421.4,85,85.5,85.9,86,6866,7026
19756,777,HL7766,L660,2023-07-05 3:43,400.8,411.1,81.5,82,85.5,85.6,7222,7435
19775,777,HL7766,L660,2023-07-05 5:21,391.6,404.1,82.7,83.3,84.9,85.1,6603,6806
19785,777,HL7766,L407,2023-07-05 12:17,457.5,468.3,89,89.5,88.5,88.6,8947,9129
19810,777,HL7766,L407,2023-07-05 19:13,400.7,411.8,84,84.4,85.4,85.5,7038,7210
19815,777,HL7766,L408,2023-07-05 23:27,427,437.8,86.4,86.9,86.8,86.8,8110,8265
19849,777,HL7766,L408,2023-07-05 23:55,424.5,435.5,86.8,87.2,86.8,86.8,8094,8248
19900,777,HL7766,L765,2023-07-07 2:06,388,397.9,81.2,81.7,84.5,84.6,6156,6306
19901,777,HL7766,L765,2023-07-07 2:08,387,395.5,81.1,81.6,84.5,84.5,6131,6264
19909,777,HL7766,L766,2023-07-07 6:23,397.9,410.5,82.8,83.4,85.4,85.6,6830,7054
19916,777,HL7766,L766,2023-07-07 7:13,399.5,412.4,82.8,83.3,85.5,85.6,6701,6904
19926,777,HL7766,L407,2023-07-07 12:53,434.5,446.8,85.8,86.3,87.5,87.6,8570,8795
19943,777,HL7766,L407,2023-07-07 19:49,394.7,405.9,83.4,83.9,85.1,85.2,6775,6951
19948,777,HL7766,L408,2023-07-08 0:05,411.7,424,84.2,84.7,86.1,86.3,7873,8110
19982,777,HL7766,L408,2023-07-08 0:16,410.7,423.6,84.2,84.7,86.1,86.3,7874,8112
20046,777,HL7766,L671,2023-07-09 8:55,429.5,439.7,86.4,86.8,86.9,87,7853,8017
20056,777,HL7766,L671,2023-07-09 10:12,415.3,426.2,84.7,85.2,86.3,86.4,7392,7580
20062,777,HL7766,L672,2023-07-09 16:35,411.6,422.7,84.4,84.9,86,86.1,7467,7652
20077,777,HL7766,L672,2023-07-09 20:12,400,411.5,83.3,83.8,85.4,85.5,6775,6966
20097,777,HL7766,L955,2023-07-10 6:47,402.4,416.5,83.7,84.2,85.6,85.8,7776,8003
20117,777,HL7766,L955,2023-07-10 9:07,425.3,436,85.6,86.1,86.9,87,7553,7750
20123,777,HL7766,L956,2023-07-10 20:21,406.5,420.8,83.1,83.7,85.2,85.4,8009,8253
20144,777,HL7766,L956,2023-07-11 1:56,409.7,407.6,83.7,83.6,85.8,85.3,6638,6577
20163,777,HL7766,L615,2023-07-11 12:44,409.7,421.1,84.4,85,85.9,86,7366,7571
20168,777,HL7766,L615,2023-07-11 14:50,403.1,415.1,83.5,84.1,85.6,85.7,7065,7279
20196,777,HL7766,L616,2023-07-11 18:08,404.5,414.1,81.6,82.1,85.7,85.8,7227,7430
20195,777,HL7766,L616,2023-07-11 18:55,398,410,80.8,81.4,85.3,85.4,6925,7168
20209,777,HL7766,L955,2023-07-12 8:14,436.2,449.5,86.8,87.3,87.7,87.7,8513,8709
20228,777,HL7766,L955,2023-07-12 15:06,423.4,434.3,85.1,85.5,86.5,86.7,6872,7034
20236,777,HL7766,L956,2023-07-12 21:30,413.7,424.7,85,85.4,86.3,86.4,8671,8869
20256,777,HL7766,L956,2023-07-12 23:53,436.3,447.4,85.1,85.6,87.4,87.6,8229,8465
20264,777,HL7766,L615,2023-07-13 13:29,417.8,430.2,84.8,85.4,86.4,86.6,7417,7624
20270,777,HL7766,L615,2023-07-13 15:44,404.6,416.2,83.8,84.3,85.7,85.9,7103,7316
20278,777,HL7766,L616,2023-07-13 19:11,405,416.6,84.1,84.6,85.6,85.8,6941,7131
20283,777,HL7766,L616,2023-07-13 21:15,420.2,430,80.7,81.2,85.3,85.4,6876,7072
20287,777,HL7766,L893,2023-07-14 1:12,403.7,411.7,82.2,82.7,85.5,85.5,6573,6740
20289,777,HL7766,L893,2023-07-14 1:14,404.9,413.1,82.3,82.8,85.6,85.6,6590,6755
20311,777,HL7766,L407,2023-07-14 12:22,445.9,457.7,86.5,86.9,88,88.2,8738,8953
20328,777,HL7766,L407,2023-07-14 19:09,399.8,412,83.8,84.2,85.4,85.5,6953,7136
20331,777,HL7766,L408,2023-07-14 23:35,419.9,431,85.8,86.2,86.5,86.6,7817,7987
20363,777,HL7766,L408,2023-07-14 23:55,416.7,429.4,85.4,85.8,86.4,86.5,7695,7876
20371,777,HL7766,L177,2023-07-15 11:50,417.2,429.2,84.9,85.4,86.2,86.3,6971,7159
20376,777,HL7766,L177,2023-07-15 13:03,397.5,410.5,83.4,83.8,85.2,85.4,6572,6748
20390,777,HL7766,L178,2023-07-15 17:38,409.6,420.6,84,84.6,85.8,86,6917,7117
20397,777,HL7766,L178,2023-07-15 18:32,402.2,414.2,83.6,84.1,85.5,85.6,6765,6957
20428,777,HL7766,L955,2023-07-16 6:17,440.9,452,84.9,85.3,87.5,87.7,9023,9255
20430,777,HL7766,L955,2023-07-16 6:17,440.9,452,84.9,85.3,87.5,87.7,9023,9255
20459,777,HL7766,L955,2023-07-16 15:48,375.3,385.3,80.2,80.7,84,84.1,6821,7025
20465,777,HL7766,L956,2023-07-16 19:33,419.9,430.3,85.8,86.2,86.4,86.5,8155,8307
