id,ac,hl,flight,date,EGT1,EGT2,N11,N12,N21,N22,FF1,FF2
5850,777,HL7766,L865,2024-01-09 3:23,424.5,417,82,82.1,86.8,86.6,8261,8168
5862,777,HL7766,L866,2024-01-09 6:15,388.9,380.8,81.1,81.1,84.3,84.1,6147,6092
5870,777,HL7766,L866,2024-01-09 6:26,392.5,381.9,81.4,81.5,84.6,84.3,6155,6090
5879,777,HL7766,L615,2024-01-09 11:21,389.8,382.5,82.1,82.3,84.6,84.4,7024,6929
5886,777,HL7766,L615,2024-01-09 14:07,401.8,394.3,82.8,83,85.4,85.2,6933,6858
5894,777,HL7766,L616,2024-01-09 17:08,407,398.9,83.5,83.7,85.5,85.4,6913,6859
5899,777,HL7766,L616,2024-01-09 17:13,405.7,397.7,83.3,83.5,85.5,85.3,6876,6831
5928,777,HL7766,2901,2024-01-10 7:17,411.3,404.3,84.1,84.2,85.8,85.7,7822,7739
5950,777,HL7766,2901,2024-01-10 15:58,369.5,364.2,81.4,81.5,83.4,83.2,5942,5892
5958,777,HL7766,412D,2024-01-10 20:56,439.4,435.9,86.3,86.2,87.5,87.3,9444,9390
5986,777,HL7766,412D,2024-01-11 6:00,401.4,393.3,83,83.1,85.4,85.3,7053,6981
5997,777,HL7766,L615,2024-01-11 11:13,426.1,416.5,86.3,86.4,86.3,86.1,7285,7197
6004,777,HL7766,L615,2024-01-11 13:24,401.2,392.2,83.5,83.6,85.2,84.9,6609,6549
6013,777,HL7766,L616,2024-01-11 16:47,409.7,401,83.8,84,85.8,85.6,6984,6917
6015,777,HL7766,L616,2024-01-11 18:41,390,381.7,81.5,81.6,84.5,84.3,6319,6262
6061,777,HL7766,L663,2024-01-12 9:01,406.6,399.3,83.5,83.7,85.5,85.3,7273,7199
6076,777,HL7766,L663,2024-01-12 10:05,414,407.4,84.5,84.7,86.1,85.8,7537,7436
6084,777,HL7766,L664,2024-01-12 17:20,410.9,403,84,84.2,85.8,85.5,7179,7092
6093,777,HL7766,L664,2024-01-12 19:54,401.3,393.5,83,83.2,85.3,85.1,6794,6733
6099,777,HL7766,L865,2024-01-13 0:41,398.7,389.2,82.7,82.7,85,84.7,6533,6463
